,state_abbr,year,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
703,MS,1995,2697000,13560,348,3530,8628,108195,30505,67967,9723
704,MS,1996,2716000,13261,301,3646,8333,109581,30755,69299,9527
705,MS,1997,2731000,12808,358,3741,7644,113644,32429,71887,9328
706,MS,1998,2752000,11302,315,3394,6567,109345,31498,68525,9322
707,MS,1999,2768619,9671,213,3091,5211,108560,29109,65919,13532
708,MS,2000,2844658,10267,255,2703,6290,103644,26918,69758,6968
709,MS,2001,2859733,10006,282,3294,5283,109609,29821,70315,9473
710,MS,2002,2866733,9858,264,3356,5111,109584,29593,70468,9523
711,MS,2003,2882594,9336,267,3016,4974,106867,29564,68307,8996
712,MS,2004,2900768,8568,227,2503,4677,100980,27661,65440,7879
713,MS,2005,2908496,8131,214,2405,4365,95231,26866,60873,7492
714,MS,2006,2910540,9076,231,3259,4547,92853,27117,57406,8330
715,MS,2007,2918785,8502,202,2896,4371,90887,27223,56473,7191
716,MS,2008,2938618,8942,236,3079,4669,85488,25506,53730,6252
717,MS,2009,2951996,8451,194,2969,4297,87327,29559,52329,5439
718,MS,2010,2970072,7999,204,2777,4087,88596,30453,52784,5359
719,MS,2011,2977457,8009,232,2496,4418,89809,30722,54179,4908
720,MS,2012,2986450,7769,213,2277,4460,83933,28084,51520,4329
721,MS,2013,2992206,8303,217,2413,4649,81548,24969,52192,4387
722,MS,2014,2993443,8331,259,2405,4585,86887,23898,58515,4474
723,MS,2015,2989390,8190,253,2312,4467,85785,25068,56446,4271
724,MS,2016,2988726,8383,238,2397,4471,82732,23354,55054,4324
725,MO,1995,5324000,35339,469,10863,22296,237278,49649,162430,25199
726,MO,1996,5359000,31669,433,9142,20528,240781,47919,168870,23992
727,MO,1997,5402000,31192,426,8430,20811,228889,46900,155472,26517
728,MO,1998,5439000,30222,399,8116,20244,232284,47455,160363,24466
729,MO,1999,5468338,27353,359,7149,18406,223010,42476,157550,22984
730,MO,2000,5595211,27419,347,7598,18123,225919,41685,159539,24695
731,MO,2001,5637309,30472,372,7771,20946,238411,42977,167420,28014
732,MO,2002,5669544,30557,331,7024,21737,230520,42721,159921,27878
733,MO,2003,5719204,28067,289,6686,19692,233564,41997,161616,29951
734,MO,2004,5759532,28226,354,6630,19763,224629,40472,158264,25893
735,MO,2005,5797703,30477,402,7196,21254,227809,42822,159288,25699
736,MO,2006,5842713,31897,369,7597,22167,224007,44734,153874,25399
737,MO,2007,5878415,32962,367,7728,23082,225113,44897,156319,23897
738,MO,2008,5911605,29701,456,7395,20238,216522,45763,150002,20757
739,MO,2009,5987580,29513,387,7437,20083,201783,43591,140764,17428
740,MO,2010,5995715,27440,420,6185,19390,200858,44197,140526,16135
741,MO,2011,6008984,26888,366,6275,18778,199085,44875,138879,15331
742,MO,2012,6024522,27189,390,5782,19490,199813,42510,140971,16332
743,MO,2013,6044917,26216,369,5486,18056,189655,38797,134514,16344
744,MO,2014,6063827,26882,404,5592,18483,176436,35293,124769,16374
745,MO,2015,6076204,30292,503,6383,20833,173788,34029,122749,17010
746,MO,2016,6093000,31644,537,6570,21983,170549,31710,120544,18295
747,MT,1995,870000,1491,35,253,972,40246,5060,32797,2389
748,MT,1996,879000,1415,34,261,882,38084,4908,30928,2248
749,MT,1997,879000,1161,42,179,769,37592,5002,30411,2179
750,MT,1998,880000,1797,18,232,1312,36564,4575,29940,2049
751,MT,1999,882779,2090,22,239,1536,29103,3876,23353,1874
752,MT,2000,902195,2807,20,203,2276,32198,3624,26678,1896
753,MT,2001,905382,3187,34,230,2735,30175,3670,24684,1821
754,MT,2002,910372,3197,16,283,2661,28751,3289,23679,1783
755,MT,2003,918157,3351,30,298,2777,28428,3722,22800,1906
756,MT,2004,926920,2723,30,233,2187,27215,3515,22082,1618
757,MT,2005,934737,2634,18,177,2138,29407,3642,23794,1971
758,MT,2006,944632,3564,33,233,2950,26986,3380,21659,1947
759,MT,2007,957861,3638,27,233,3015,27837,3476,22315,2046
760,MT,2008,967440,3013,40,204,2411,26300,3689,20834,1777
761,MT,2009,974989,2798,32,228,2181,24826,3686,19528,1612
762,MT,2010,990958,2733,25,154,2222,25409,3692,20166,1551
763,MT,2011,997667,2755,29,171,2189,23885,3347,19089,1449
764,MT,2012,1005494,2803,29,202,2180,26102,3920,20484,1698
765,MT,2013,1014864,2924,23,217,2217,26195,4122,20192,1881
766,MT,2014,1023252,3361,38,202,2563,25525,3639,19826,2060
767,MT,2015,1032073,3647,38,210,2827,27276,3887,20966,2423
768,MT,2016,1042520,3840,36,266,2960,27976,3934,21299,2743
769,NE,1995,1637000,6253,48,1067,4821,68140,10344,52044,5752
770,NE,1996,1652000,7182,48,1052,5635,66110,10152,50315,5643
771,NE,1997,1657000,7265,50,1097,5712,63717,9813,48363,5541
772,NE,1998,1663000,7507,51,1290,5749,65752,10544,49420,5788
773,NE,1999,1666028,7167,60,1264,5429,61277,10158,45679,5440
774,NE,2000,1711263,5606,63,1147,3960,64479,10131,49118,5230
775,NE,2001,1720039,5214,43,1128,3612,68963,9760,52713,6490
776,NE,2002,1727564,5428,48,1359,3557,68178,10329,51440,6409
777,NE,2003,1737475,5105,56,1165,3380,65189,10133,48924,6132
778,NE,2004,1747704,5393,40,1138,3595,61512,9826,46399,5287
779,NE,2005,1758163,5052,44,1040,3387,60348,9408,45359,5581
780,NE,2006,1768331,5197,51,1136,3433,59411,9535,44710,5166
781,NE,2007,1774571,5524,71,1115,3788,55765,9035,41484,5246
782,NE,2008,1783432,5570,69,1297,3603,51350,8731,38394,4225
783,NE,2009,1796619,5199,41,1220,3321,49731,8726,37496,3509
784,NE,2010,1830141,5093,54,1020,3345,48827,8318,36896,3613
785,NE,2011,1842234,4672,68,993,2912,50894,8725,38060,4109
786,NE,2012,1855350,4802,52,1128,2912,51203,8745,38301,4157
787,NE,2013,1868969,4949,56,1035,3011,49197,8945,35791,4461
788,NE,2014,1882980,5201,53,1044,3226,47526,7936,35063,4527
789,NE,2015,1893765,5167,62,994,3226,42597,6443,32148,4006
790,NE,2016,1907116,5550,49,946,3561,43163,6444,31994,4725
791,NV,1995,1530000,14461,163,4966,8395,86203,20235,54563,11405
792,NV,1996,1603000,13005,220,4931,6998,83047,19558,52295,11194
793,NV,1997,1677000,13395,187,5071,7132,88307,21975,53112,13220
794,NV,1998,1747000,11244,170,4453,5710,81006,19873,47367,13766
795,NV,1999,1809253,10311,165,4209,4994,73874,17613,43167,13094
796,NV,2000,1998257,10474,129,4543,4942,74823,17526,44125,13172
797,NV,2001,2097722,12359,180,4932,6364,77486,17711,45073,14702
798,NV,2002,2167455,13856,181,5118,7629,83896,18951,47459,17486
799,NV,2003,2242207,13813,197,5225,7520,96128,21958,53321,20849
800,NV,2004,2332898,14379,172,4905,8348,98215,23142,52438,22635
801,NV,2005,2412301,14654,206,4702,8730,102424,23481,52012,26931
802,NV,2006,2495529,18687,226,7038,10331,102338,24902,50429,27007
803,NV,2007,2565382,19365,193,6938,11138,97118,24911,49844,22363
804,NV,2008,2600167,18973,165,6486,11216,90006,24254,49814,15938
805,NV,2009,2643085,18639,156,6028,11431,80976,22115,46463,12398
806,NV,2010,2704283,17929,158,5298,11508,75004,22286,42533,10185
807,NV,2011,2720028,15452,139,4308,10092,70075,20342,40156,9577
808,NV,2012,2754354,16763,124,4918,10790,77510,22120,45372,10018
809,NV,2013,2791494,16888,163,5183,10060,79177,23047,46132,9998
810,NV,2014,2838281,18043,170,5954,10562,74574,21924,42466,10184
811,NV,2015,2883758,20118,178,6287,11965,77137,22360,43426,11351
812,NV,2016,2940058,19936,224,6340,11639,76047,18850,44017,13180
813,NH,1995,1148000,1314,21,314,646,29170,4806,22698,1666
814,NH,1996,1162000,1373,20,317,632,31436,5063,24611,1762
815,NH,1997,1173000,1328,16,274,643,29635,4612,23430,1593
816,NH,1998,1185000,1270,18,255,597,27405,3852,22079,1474
817,NH,1999,1201134,1159,18,257,539,26247,3698,21195,1354
818,NH,2000,1235786,2167,22,453,1170,27901,4992,20761,2148
819,NH,2001,1259359,2144,17,445,1224,27089,4889,20060,2140
820,NH,2002,1274405,2056,12,413,1185,26250,4838,19468,1944
821,NH,2003,1288705,1937,17,480,1002,26456,4589,19934,1933
822,NH,2004,1299169,2202,17,500,1219,26658,4979,19723,1956
823,NH,2005,1306819,1761,19,365,971,24031,4192,18493,1346
824,NH,2006,1314895,1785,13,435,1042,26060,4395,20179,1486
825,NH,2007,1315828,1896,12,451,1076,26394,5074,19909,1411
826,NH,2008,1315809,2054,14,421,1234,28387,4266,22714,1407
827,NH,2009,1324575,2125,11,454,1261,28790,4915,22748,1127
828,NH,2010,1316807,2204,13,450,1330,29230,5444,22789,997
829,NH,2011,1317807,2864,16,509,1758,32756,6244,25398,1114
830,NH,2012,1321617,2841,15,471,1869,32074,5988,25024,1062
831,NH,2013,1322616,2952,21,645,1708,30409,5283,24188,938
832,NH,2014,1327996,2625,16,544,1469,26098,4191,21051,856
833,NH,2015,1330111,2692,15,475,1558,23453,3482,19076,895
834,NH,2016,1334795,2637,17,427,1611,20194,2963,16360,871
835,NJ,1995,7945000,47652,409,22486,22830,326056,69533,206339,50184
836,NJ,1996,7988000,42459,338,18838,21307,303657,63259,193961,46437
837,NJ,1997,8053000,39673,337,16957,20650,287038,60894,184979,41165
838,NJ,1998,8115000,35720,325,15109,18663,260810,54459,171166,35185
839,NJ,1999,8143412,33540,287,14243,17601,243333,46998,160978,35357
840,NJ,2000,8414350,32298,289,13553,17099,233637,43924,155562,34151
841,NJ,2001,8511116,33094,336,14110,17370,240551,46812,156031,37708
842,NJ,2002,8575252,32252,339,13955,16593,227715,43899,148061,35755
843,NJ,2003,8642412,31488,406,13342,16452,220350,43457,142287,34606
844,NJ,2004,8685166,30943,392,13076,16144,211313,41030,139977,30306
845,NJ,2005,8703150,30919,417,13215,16079,203391,38980,136728,27683
846,NJ,2006,8724560,30550,427,13360,15562,198820,39384,134687,24749
847,NJ,2007,8685920,28544,381,12567,14564,192338,37234,133145,21959
848,NJ,2008,8682661,28351,376,12701,14152,199127,40402,138545,20180
849,NJ,2009,8707739,27113,319,11639,14114,180752,36945,128303,15504
850,NJ,2010,8799593,27055,371,11818,13885,183042,38732,128754,15556
851,NJ,2011,8834773,27203,380,12209,13608,189719,43238,129066,17415
852,NJ,2012,8867749,25727,388,11385,12919,181481,42338,122662,16481
853,NJ,2013,8911502,25748,404,12084,12071,167634,35883,118005,13746
854,NJ,2014,8938844,23319,352,10499,11188,154945,31707,111534,11704
855,NJ,2015,8935421,22879,363,9729,11414,145701,27960,105963,11778
856,NJ,2016,8944469,21914,372,8984,11105,138152,25284,101540,11328
857,NM,1995,1685000,13804,148,2604,10098,94508,24383,61478,8647
858,NM,1996,1713000,14399,197,2782,10332,98698,23586,65139,9973
859,NM,1997,1730000,14762,134,2966,10790,104721,25126,67188,12407
860,NM,1998,1737000,16700,190,2839,12714,100011,24213,65031,10767
861,NM,1999,1739844,14520,170,2579,10827,89220,21481,59613,8126
862,NM,2000,1819046,13786,135,2499,10230,86605,21339,57925,7341
863,NM,2001,1830935,14288,99,2695,10644,83095,19552,56406,7137
864,NM,2002,1852044,13719,152,2206,10334,80477,19634,53406,7437
865,NM,2003,1878562,12535,116,1937,9542,76816,18997,50595,7224
866,NM,2004,1903006,13081,169,2062,9811,79895,19924,52069,7902
867,NM,2005,1925985,12448,144,1893,9370,79575,20939,50707,7929
868,NM,2006,1954599,12797,134,2095,9495,76000,20906,45864,9230
869,NM,2007,1969915,13311,183,2323,9777,75168,20823,45442,8903
870,NM,2008,1984356,12967,161,2151,9537,75718,20706,46995,8017
871,NM,2009,2009671,12709,198,1932,9510,74639,21955,46182,6502
872,NM,2010,2065913,12147,140,1616,9432,70776,21023,44503,5250
873,NM,2011,2078674,11904,158,1720,9170,73549,21419,46730,5400
874,NM,2012,2083540,11660,116,1847,8740,75094,21384,48247,5463
875,NM,2013,2086895,12990,123,1832,9470,78958,21828,51146,5984
876,NM,2014,2085567,12465,101,2086,8797,73877,18505,49082,6290
877,NM,2015,2080328,13672,117,2485,9407,77212,17084,51485,8643
878,NM,2016,2081015,14619,139,2737,10217,81931,17281,52907,11743
879,NY,1995,18136000,152683,1550,72492,74351,674342,146562,425184,102596
880,NY,1996,18185000,132206,1353,61822,64857,619250,129828,399522,89900
881,NY,1997,18137000,124890,1093,56094,63628,584438,118306,386435,79697
882,NY,1998,18175000,115915,924,49125,62023,536287,104821,363295,68171
883,NY,1999,18196601,107147,903,43821,58860,489596,93217,338118,58261
884,NY,2000,18976457,105111,952,40539,60090,483078,87946,340901,54231
885,NY,2001,19084350,98022,960,36555,56961,458003,80400,329316,48287
886,NY,2002,19134293,95030,909,36653,53583,442091,76700,318025,47366
887,NY,2003,19212425,89486,934,35790,48987,432079,75453,311422,45204
888,NY,2004,19280727,84914,889,33506,46911,422734,70696,311036,41002
889,NY,2005,19315721,85839,874,35179,46150,405990,68034,302220,35736
890,NY,2006,19306183,84016,922,34459,45467,398577,68617,297827,32133
891,NY,2007,19297729,79962,805,31085,45144,383624,64914,290681,28029
892,NY,2008,19490297,77546,836,31787,42125,388599,65544,297962,25093
893,NY,2009,19541453,75110,781,28141,43606,377537,62769,292897,21871
894,NY,2010,19395206,76492,868,28630,44197,379710,65839,293232,20639
895,NY,2011,19501616,77463,769,28405,45538,371837,65227,287361,19249
896,NY,2012,19576125,79535,683,28633,47382,375268,64389,293562,17317
897,NY,2013,19695680,77563,644,27241,46130,358603,56444,286676,15483
898,NY,2014,19748858,75972,616,24036,45295,339113,50738,272624,15751
899,NY,2015,19747183,75126,613,23879,44493,317225,44117,257837,15271
900,NY,2016,19745289,74285,630,22316,45079,305181,39821,250968,14392
901,NC,1995,7195000,46508,677,12896,30615,359256,101995,234911,22350
902,NC,1996,7323000,43068,619,12001,28159,361616,98539,238511,24566
903,NC,1997,7425000,45071,614,12817,29292,362672,100002,238228,24442
904,NC,1998,7546000,43723,612,12133,28667,357892,99951,233325,24616
905,NC,1999,7650789,41474,552,12087,26680,354497,98457,230463,25577
906,NC,2000,8049313,40051,560,12595,24715,355921,97888,232767,25266
907,NC,2001,8206105,40465,505,13304,24573,363777,101889,237241,24647
908,NC,2002,8305820,39118,548,12205,24169,353708,99535,229307,24866
909,NC,2003,8421190,38243,506,12229,23369,359660,100687,232081,26892
910,NC,2004,8540468,38244,532,11782,23591,355328,101193,227147,26988
911,NC,2005,8672459,40650,585,12635,25128,353855,104298,221091,28466
912,NC,2006,8856505,42088,539,13468,25586,364549,107333,227114,30102
913,NC,2007,9061032,42231,584,13534,25727,369893,108700,233241,27952
914,NC,2008,9222414,43125,599,14323,25907,372763,111556,234480,26727
915,NC,2009,9380884,37946,489,11825,23326,343707,107830,215923,19954
916,NC,2010,9560234,34679,474,9620,22583,329202,102826,208057,18319
917,NC,2011,9651103,33421,498,9448,21516,337806,105534,215453,16819
918,NC,2012,9748364,34464,479,9392,22609,328594,99323,213151,16120
919,NC,2013,9848917,33587,463,9275,21325,305631,90182,201043,14406
920,NC,2014,9940387,32718,498,8411,21377,285498,79266,192609,13623
921,NC,2015,10035186,34734,517,8821,22805,275915,74760,187732,13423
922,NC,2016,10146788,37769,678,9336,24906,277765,72082,190377,15306
923,ND,1995,641000,556,6,64,340,17817,2248,14421,1148
924,ND,1996,644000,541,14,71,301,16648,1991,13433,1224
925,ND,1997,641000,559,6,41,353,16821,2300,13367,1154
926,ND,1998,638000,570,7,65,286,16535,2274,13134,1127
927,ND,1999,633666,424,10,56,216,14748,2337,11375,1036
928,ND,2000,642200,523,4,56,294,14171,2093,11092,986
929,ND,2001,636550,505,7,60,274,14834,2165,11583,1086
930,ND,2002,633911,496,5,58,270,14762,2243,11501,1018
931,ND,2003,633400,508,9,53,286,13364,1959,10327,1078
932,ND,2004,636308,558,8,43,330,12493,2040,9516,937
933,ND,2005,634605,706,12,54,460,12848,2043,9732,1073
934,ND,2006,635867,1255,14,75,925,13359,2601,9672,1086
935,ND,2007,639715,1343,17,75,999,12796,2314,9500,982
936,ND,2008,641481,1441,11,73,1026,13029,2336,9782,911
937,ND,2009,646844,1723,12,107,1308,12813,2426,9474,913
938,ND,2010,674629,1548,10,90,1203,12010,2000,9137,873
939,ND,2011,684740,1699,24,91,1318,13334,2458,9891,985
940,ND,2012,701345,1723,25,127,1292,14297,2429,10687,1181
941,ND,2013,723857,1979,16,161,1447,15356,2979,10942,1435
942,ND,2014,740040,2001,23,175,1421,15857,2751,11559,1547
943,ND,2015,756835,1949,21,159,1378,17716,3296,12686,1734
944,ND,2016,757952,1903,15,181,1365,17402,3243,12195,1964
945,OH,1995,11151000,53799,600,19931,28433,437424,93539,297624,46261
946,OH,1996,11173000,47896,538,18336,24405,449935,93336,311071,45528
947,OH,1997,11186000,48706,523,17755,25862,455799,94972,315908,45419
948,OH,1998,11209000,40628,443,14960,20682,444438,90805,310612,43021
949,OH,1999,11256654,35616,397,14405,16685,414264,87023,288049,39192
950,OH,2000,11353140,37935,418,15610,17636,420939,88636,293277,39026
951,OH,2001,11389785,40023,452,17199,17906,435115,96910,295976,42229
952,OH,2002,11408699,40128,526,17871,16922,428976,99164,287045,42767
953,OH,2003,11437680,38185,526,16895,16104,417483,95083,281383,41017
954,OH,2004,11450143,38787,506,17429,16108,419337,96518,282168,40651
955,OH,2005,11470685,40162,590,18673,16228,420705,100183,279051,41471
956,OH,2006,11478006,41491,560,19418,16743,423334,105639,279718,37977
957,OH,2007,11466917,40759,529,18351,17218,397681,99049,264677,33955
958,OH,2008,11485910,40436,547,18706,16652,391667,102428,260788,28451
959,OH,2009,11542645,38305,527,17670,15989,376446,104009,249777,22660
960,OH,2010,11537968,36306,479,16486,15611,376836,107125,248581,21130
961,OH,2011,11541007,35218,500,15991,15048,380572,112901,246744,20927
962,OH,2012,11553031,34827,478,15396,15140,370435,105312,245372,19751
963,OH,2013,11572005,33722,478,14483,14370,338414,91090,227799,19525
964,OH,2014,11596998,33130,464,12780,14658,322517,79466,224942,18109
965,OH,2015,11605090,34373,522,12617,15793,303743,69994,216354,17395
966,OH,2016,11614373,34877,654,12523,16111,299357,66883,212807,19667
967,OK,1995,3278000,21770,400,3788,16121,161693,41694,103727,16272
968,OK,1996,3301000,19710,223,3519,14423,166892,41447,109506,15939
969,OK,1997,3317000,18560,229,3446,13368,163698,40015,109039,14644
970,OK,1998,3347000,18053,204,3078,13258,149426,38268,97593,13565
971,OK,1999,3358044,17066,231,2785,12675,140220,34472,93616,12132
972,OK,2000,3450654,17177,182,2615,12958,140125,31661,96116,12348
973,OK,2001,3469577,17726,185,2746,13309,141679,34573,94537,12569
974,OK,2002,3489700,17587,163,2966,12885,148128,35171,100185,12772
975,OK,2003,3506469,17758,206,3224,12827,151208,34846,103404,12958
976,OK,2004,3523546,17635,186,3090,12802,149472,35244,101271,12957
977,OK,2005,3543442,18044,187,3230,13146,143406,35692,93814,13900
978,OK,2006,3579212,17905,210,3145,13062,129728,34437,81853,13438
979,OK,2007,3617316,18234,224,3392,13053,128714,34367,80747,13600
980,OK,2008,3642361,19359,215,3698,13975,126535,35247,80265,11023
981,OK,2009,3687050,18560,234,3358,13433,132350,38071,83813,10466
982,OK,2010,3760184,18100,195,3345,13091,129464,37848,81303,10313
983,OK,2011,3784163,17311,212,3288,12401,127618,36462,80064,11092
984,OK,2012,3815780,18102,220,3248,13012,130969,36094,83131,11744
985,OK,2013,3853118,17187,198,3023,11652,126418,33512,81624,11282
986,OK,2014,3879610,16052,180,3073,10937,117445,29963,76719,10763
987,OK,2015,3907414,16746,240,3018,11535,114055,28783,74678,10594
988,OK,2016,3923561,17648,245,3162,12202,117037,29103,75779,12155
989,OR,1995,3141000,16408,129,4332,10638,189765,34640,133075,22050
990,OR,1996,3204000,14837,129,3914,9522,177295,31664,128618,17013
991,OR,1997,3243000,14412,95,3811,9200,188916,33507,136129,19280
992,OR,1998,3282000,13778,126,3452,8893,171545,30442,123841,17262
993,OR,1999,3316154,12432,88,2858,8267,153434,26749,113052,13633
994,OR,2000,3421399,12000,70,2888,7756,153780,25618,114230,13932
995,OR,2001,3473441,10650,84,2749,6643,164524,26648,123034,14842
996,OR,2002,3520355,10298,72,2742,6246,161145,25696,118925,16524
997,OR,2003,3564330,10506,68,2847,6373,169863,28562,122327,18974
998,OR,2004,3591363,10724,90,2751,6600,166475,30072,117868,18535
999,OR,2005,3638871,10444,80,2478,6620,160199,27621,113316,19262
1000,OR,2006,3700758,10534,88,2711,6516,137858,24324,98897,14637
1001,OR,2007,3747455,11015,76,2864,6799,132773,22979,95157,14637
1002,OR,2008,3790060,9909,87,2656,5983,125169,21115,92677,11377
1003,OR,2009,3825657,9968,88,2499,6179,114780,19739,85064,9977
1004,OR,2010,3838332,9648,96,2421,5892,116657,20035,87494,9128
1005,OR,2011,3868229,9643,84,2237,6083,121869,20704,92059,9106
1006,OR,2012,3899801,9638,91,2419,5969,126417,22051,94114,10252
1007,OR,2013,3928068,9536,82,2394,5596,125083,20808,94363,9912
1008,OR,2014,3971202,10294,84,2270,6320,123142,18690,94177,10275
1009,OR,2015,4024634,10680,110,2163,6757,119752,18541,90514,10697
1010,OR,2016,4093465,10830,113,2278,6718,121345,16866,91286,13193
1011,PA,1995,12072000,51586,755,22858,24927,354623,67815,236991,49817
1012,PA,1996,12056000,57905,686,22784,31401,370851,71357,250758,48736
1013,PA,1997,12020000,53140,705,18788,30358,359323,68218,246892,44213
1014,PA,1998,12001000,50470,633,19787,26827,342318,63777,235873,42668
1015,PA,1999,11994016,50431,592,18670,27890,323021,56037,227750,39234
1016,PA,2000,12281054,51584,602,18155,29580,316274,54080,225869,36325
1017,PA,2001,12303104,50432,651,17500,28814,313408,54345,223350,35713
1018,PA,2002,12328827,49578,624,17163,28060,300868,55610,212441,32817
1019,PA,2003,12370761,49210,647,17980,27027,300639,53918,213279,33442
1020,PA,2004,12394471,50998,650,18474,28339,299611,54443,214199,30969
1021,PA,2005,12405348,52761,756,19214,29205,300444,56134,214916,29394
1022,PA,2006,12440621,55028,741,21095,29581,304589,57739,217142,29708
1023,PA,2007,12432792,51806,725,19440,28198,293850,56091,211248,26511
1024,PA,2008,12448279,51044,705,18873,27981,300294,58687,219115,22492
1025,PA,2009,12604767,48188,664,17504,26394,277182,54772,204588,17822
1026,PA,2010,12717722,46612,653,16375,26112,276366,55206,204440,16720
1027,PA,2011,12743948,46189,639,16165,26046,283442,57966,208604,16872
1028,PA,2012,12764475,45384,707,15735,25571,276562,57040,204409,15113
1029,PA,2013,12781296,42825,611,14739,23680,263176,52000,197410,13766
1030,PA,2014,12793767,40298,610,13545,22304,246982,45718,188211,13053
1031,PA,2015,12791904,40348,665,12965,22419,231941,39573,180236,12132
1032,PA,2016,12784227,40447,661,12326,23027,222795,35520,174228,13047
1033,RI,1995,990000,3643,33,914,2429,38378,9234,24780,4364
1034,RI,1996,990000,3437,25,824,2301,36099,8135,23367,4597
1035,RI,1997,987000,3292,25,707,2197,32777,7083,21499,4195
1036,RI,1998,988000,3084,24,659,2050,31672,6452,21391,3829
1037,RI,1999,990819,2840,36,788,1625,32657,6341,22284,4032
1038,RI,2000,1048319,3121,45,922,1742,33323,6620,22038,4665
1039,RI,2001,1059659,3278,39,986,1837,35742,6824,23875,5043
1040,RI,2002,1068326,3051,41,916,1699,35342,6415,24051,4876
1041,RI,2003,1076084,3074,25,830,1714,32231,5524,22320,4387
1042,RI,2004,1079916,2673,26,731,1596,31166,5465,21623,4078
1043,RI,2005,1073579,2710,34,776,1577,29287,5319,19567,4401
1044,RI,2006,1067610,2460,27,740,1404,27914,5453,18852,3609
1045,RI,2007,1057832,2424,19,760,1387,27576,5206,19175,3195
1046,RI,2008,1050788,2656,31,880,1463,29895,5766,20926,3203
1047,RI,2009,1053209,2678,32,785,1565,27558,5753,19403,2402
1048,RI,2010,1052528,2709,29,782,1600,26959,6124,18432,2403
1049,RI,2011,1050646,2586,20,744,1503,27976,6836,18765,2375
1050,RI,2012,1050304,2657,26,715,1614,27039,5929,18478,2632
1051,RI,2013,1053354,2710,31,683,1547,25741,5621,17881,2239
1052,RI,2014,1054907,2320,26,530,1398,22982,4830,16317,1835
1053,RI,2015,1055607,2565,31,547,1520,20038,3938,14714,1386
1054,RI,2016,1056426,2524,29,540,1513,20058,3788,14674,1596
1055,SC,1995,3673000,36067,292,6461,27577,186656,46083,126416,14157
1056,SC,1996,3699000,36875,332,6361,28361,192986,47487,129650,15849
1057,SC,1997,3760000,37235,314,6624,28460,193402,46322,131325,15755
1058,SC,1998,3836000,34647,306,5943,26645,186960,44600,126412,15948
1059,SC,1999,3885736,32920,258,5760,25315,173987,39630,119912,14445
1060,SC,2000,4012012,33225,291,6220,25054,181290,40319,125385,15586
1061,SC,2001,4062125,33114,330,5987,25028,186054,42611,126742,16701
1062,SC,2002,4103770,33761,298,5774,25730,183808,43745,123196,16867
1063,SC,2003,4148744,33455,303,5801,25399,187592,43993,127809,15790
1064,SC,2004,4197892,33160,286,5468,25634,190456,43739,130991,15726
1065,SC,2005,4246933,32590,314,5657,24757,185606,42741,126489,16376
1066,SC,2006,4321249,33322,362,5902,25224,184712,42952,125075,16685
1067,SC,2007,4407709,34630,364,6354,26139,189304,45398,126802,17104
1068,SC,2008,4479800,32746,307,6595,24158,189950,45964,126316,17670
1069,SC,2009,4561242,30799,305,5753,23078,178310,45443,119250,13617
1070,SC,2010,4637106,27923,265,5017,21090,181098,46261,121544,13293
1071,SC,2011,4673348,27894,320,4631,21265,183243,47351,122255,13637
1072,SC,2012,4723417,26474,332,4511,19919,181049,45222,122340,13487
1073,SC,2013,4771929,24263,305,3965,17760,173261,40930,119730,12601
1074,SC,2014,4829160,24038,322,4018,17513,168281,37163,118173,12945
1075,SC,2015,4894834,24448,407,3950,17652,162830,34942,114778,13110
1076,SC,2016,4961119,24896,366,4035,18108,160928,32976,114032,13920
1077,SD,1995,729000,1513,13,189,1012,20799,3942,15976,881
1078,SD,1996,732000,1297,9,138,850,20443,4077,15532,834
1079,SD,1997,738000,1457,10,172,918,22491,4088,17545,858
1080,SD,1998,738000,1139,10,149,722,18227,3458,14006,763
1081,SD,1999,733133,1227,18,103,770,18159,3255,14043,861
1082,SD,2000,754844,1259,7,131,816,16252,2896,12558,798
1083,SD,2001,758324,1171,7,103,710,16473,3087,12571,815
1084,SD,2002,760437,1350,11,117,861,15992,3034,12139,819
1085,SD,2003,764905,1329,10,104,859,15324,2878,11572,874
1086,SD,2004,770621,1319,17,112,854,14885,3148,10890,847
1087,SD,2005,774883,1387,18,145,847,13694,2505,10350,839
1088,SD,2006,781919,2071,30,158,1418,13812,3024,9954,834
1089,SD,2007,796214,1926,31,118,1344,13829,2647,10398,784
1090,SD,2008,804194,2227,37,134,1494,13867,2683,10266,918
1091,SD,2009,812383,1777,30,117,1129,14378,2621,10891,866
1092,SD,2010,816598,2196,23,154,1634,15188,3192,11196,800
1093,SD,2011,823593,2105,20,167,1415,15299,2927,11423,949
1094,SD,2012,834047,2701,23,157,1921,17326,3280,12973,1073
1095,SD,2013,845510,2733,18,156,2052,16274,3383,11955,936
1096,SD,2014,853304,2801,23,199,2101,16036,2817,12209,1010
1097,SD,2015,857919,3302,33,215,2554,16739,2969,12576,1194
1098,SD,2016,865454,3621,27,272,2813,17141,3000,12639,1502
1099,TN,1995,5256000,40549,557,11732,25783,241315,60086,147143,34086
1100,TN,1996,5320000,41175,503,11902,26295,248729,61896,152405,34428
1101,TN,1997,5368000,42389,511,11487,27335,253484,62899,156843,33742
1102,TN,1998,5431000,38832,460,9667,26220,234588,58432,148057,28099
1103,TN,1999,5483535,38111,391,8598,26707,219302,51362,142685,25255
