year,state,population,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,total_crimes,crime_rate,,,,
2018,ID,1750536,4196,34,927,195,3040,25822,4990,18876,1956,60036,3.429578141,,,,
2018,IL,12723071,52343,902,6106,14251,31084,246679,39317,187517,19845,598044,4.700468936,,,,
2018,IN,6695497,25009,418,2486,5737,16368,146948,25894,105861,15193,343914,5.136496962,,,,
2018,KS,2911359,12861,122,1664,1420,9655,77449,12792,56726,7931,180620,6.203975532,,,,
2018,KY,4461153,9719,250,1875,2469,5125,89235,17462,61313,10460,197908,4.436252242,,,,
2018,LA,4659690,25314,533,2105,4600,18076,152996,31291,110066,11639,356620,7.653298825,,,,
2018,MA,6882635,23424,138,2465,4084,16737,87658,14095,66968,6595,222164,3.227891643,,,,
2018,MD,6035802,28330,491,1991,9716,16132,122945,18910,91887,12148,302550,5.012589876,,,,
2018,ME,1339057,1500,23,447,228,802,18201,2712,14712,777,39402,2.942518504,,,,
2018,MI,9984072,45176,555,7901,5638,31082,166186,31834,116876,17476,422724,4.23398389,,,,
2018,MN,5606249,12403,107,2475,2946,6875,112186,16206,85849,10131,249178,4.444647393,,,,
2018,MO,6121623,30696,599,2935,5206,21956,162698,27345,115506,19847,386788,6.318389747,,,,
2018,MS,2981020,7929,214,596,1700,5419,71701,20355,46201,5145,159260,5.342466672,,,,
2018,MT,1060665,4040,37,569,270,3164,26787,3329,20641,2817,61654,5.812768405,,,,
2018,NC,10381615,36980,574,2633,7573,26200,243323,57450,169376,16497,560606,5.399988345,,,,
2018,ND,758080,2154,18,409,158,1569,15621,2742,11088,1791,35550,4.689478683,,,,
2018,NE,1925614,5583,44,1290,736,3513,40193,5308,29987,4898,91552,4.754431574,,,,
2018,NH,1353465,2404,21,578,342,1463,17201,1908,14396,897,39210,2.897008789,,,,
2018,NJ,8886025,18536,285,1424,6364,10463,125155,19232,94886,11037,287382,3.234089483,,,,
2018,NM,2092741,17637,153,1302,2646,13536,70722,16102,44592,10028,176718,8.444332098,,,,
2018,NV,3027341,16715,202,2329,3862,10322,73998,17741,44341,11916,181426,5.992915896,,,,
2018,NY,19530351,68512,562,6577,18191,43182,281543,31158,237243,13142,700110,3.584728201,,,,
2018,OH,11676341,34426,596,5852,9608,18370,257848,49456,188433,19959,584548,5.006260095,,,,
2018,OK,3940235,18701,215,2431,2805,13250,114395,27178,73799,13418,266192,6.755739188,,,,
2018,OR,4181886,12146,86,2114,2515,7431,122401,16515,89191,16695,269094,6.434752167,,,,
2018,PA,12800922,39099,784,4490,9854,23971,190633,27054,150441,13138,459464,3.589303958,,,,
2018,RI,1058287,2326,16,494,453,1363,17625,2817,13270,1538,39902,3.770432784,,,,
2018,SC,5084156,25463,411,2650,3592,18810,156330,29957,111427,14946,363586,7.151354128,,,,
2018,SD,878698,3483,12,617,222,2632,15191,2502,11237,1452,37348,4.250379539,,,,
2018,TN,6771631,42687,508,3011,7222,31946,192897,33538,138710,20649,471168,6.95796921,,,,
2018,TX,28628666,118197,1327,15098,28339,73433,681143,117897,493238,70008,1598680,5.58419313,,,,
2018,UT,3153550,7551,63,1854,1237,4397,76294,10079,58406,7809,167690,5.317499326,,,,
2018,VA,8501286,17357,417,3072,3610,10258,142931,15659,116496,10776,320576,3.770911836,,,,
2018,VT,624358,1155,11,326,73,745,8211,1496,6451,264,18732,3.000201807,,,,
2018,WA,7523869,23719,236,3610,5557,14316,223256,40434,154941,27881,493950,6.56510633,,,,
2018,WI,5807406,17365,175,2333,3493,11364,91238,14180,68380,8678,217206,3.740155243,,,,
2018,WV,1804291,5411,76,716,333,4286,27888,5916,19783,2189,66598,3.691089741,,,,
2018,WY,577601,1235,14,261,75,885,10308,1551,7974,783,23086,3.996876737,,,,
2017,AL,4875120,25469,419,2001,4233,18816,143774,31270,99707,12797,338486,6.943131656,,,,
2017,AK,739786,6338,62,1074,952,4250,26203,4167,17782,4254,65082,8.79740898,,,,
2017,AZ,7048876,35647,422,3622,7440,24163,204999,37722,148251,19026,481292,6.827925474,,,,
2017,AR,3002997,16996,249,2140,1998,12609,94419,22369,64795,7255,222830,7.420253833,,,,
2017,CA,39399349,178597,1830,14724,56625,105418,987063,176679,642019,168365,2331320,5.917153606,,,,
2017,CO,5615902,20901,222,4021,3868,12790,152032,22618,107470,21944,345866,6.158690091,,,,
2017,CT,3573880,8190,105,850,2813,4422,63646,8906,47418,7322,143672,4.020056633,,,,
2017,DE,957078,4377,51,351,1082,2893,23430,3960,18108,1362,55614,5.810811658,,,,
2017,DC,695691,6976,116,444,2625,3791,29736,1809,25340,2587,73424,10.55411095,,,,
2017,FL,20976812,85606,1057,7936,18597,58016,527125,88835,395375,42915,1225462,5.841983996,,,,
2017,GA,10413055,37118,681,2646,9844,23947,297651,55363,216252,26036,669538,6.429794138,,,,
2017,HI,1424203,3577,39,567,1077,1894,40392,5549,29574,5269,87938,6.174541129,,,,
2017,IA,3143637,9038,98,1305,1269,6366,65652,14711,45441,5500,149380,4.7518209,,,,
2017,ID,1718904,4111,42,755,222,3092,28557,5837,20570,2150,65336,3.801026701,,,,
2017,IL,12786196,55777,983,5424,17731,31639,255108,43355,190860,20893,621770,4.862822375,,,,
2017,IN,6660082,26307,413,2612,7035,16247,158932,29799,114395,14738,370478,5.562664243,,,,
2017,KS,2910689,11654,134,1504,1633,8383,79387,13102,58891,7394,182082,6.255632258,,,,
2017,KY,4453874,10292,265,1817,2967,5243,95899,20535,65006,10358,212382,4.768477959,,,,
2017,LA,4670818,25986,576,1850,5385,18175,157272,34135,112042,11095,366516,7.846933878,,,,
2017,MA,6863246,24318,172,2199,4874,17073,97977,16916,73573,7488,244590,3.5637656,,,,
2017,MD,6024891,30321,558,1712,11189,16862,134705,23526,97657,13522,330052,5.4781406,,,,
2017,ME,1335063,1610,23,470,249,868,20142,3337,16012,793,43504,3.258572816,,,,
2017,MI,9976447,44883,569,7110,6508,30696,179839,35833,124410,19596,449444,4.505050746,,,,
2017,MN,5568155,13345,114,2405,3627,7199,122430,18828,93602,10000,271550,4.876839815,,,,
2017,MO,6108612,32450,599,2737,6362,22752,173380,30086,123356,19938,411660,6.739010433,,,,
2017,MS,2989663,7661,190,658,2492,4321,82764,22449,55968,4347,180850,6.04917678,,,,
2017,MT,1053090,3937,41,639,234,3023,27294,3623,21073,2598,62462,5.931306916,,,,
2017,NC,10270800,38043,622,1944,9884,25593,265483,65247,184119,16117,607052,5.910464618,,,,
2017,ND,755176,2133,10,406,183,1534,16653,2947,11944,1762,37572,4.975264044,,,,
2017,NE,1917575,5979,42,1191,1020,3726,43856,6513,32064,5279,99670,5.19771065,,,,
2017,NH,1349767,2642,13,619,441,1569,18550,2554,15087,909,42384,3.140097513,,,,
2017,NJ,8888543,20604,324,1505,7895,10880,140086,23891,104025,12170,321380,3.615665695,,,,
2017,NM,2093395,16300,144,1244,3732,11180,81865,17872,52284,11709,196330,9.378545377,,,,
2017,NV,2972405,16663,266,1896,4841,9660,78320,20049,45459,12812,189966,6.390986423,,,,
2017,NY,19590719,70746,550,6297,20122,43777,293390,34928,245093,13369,728272,3.71743375,,,,
2017,OH,11664129,34621,741,5833,11224,16823,280557,57521,202320,20716,630356,5.404226925,,,,
2017,OK,3932640,17989,243,2220,3007,12519,113611,28749,72546,12316,263200,6.692705155,,,,
2017,OR,4146592,11629,105,1992,2474,7058,122524,17415,88091,17018,268306,6.47051844,,,,
2017,PA,12790447,40030,742,4216,11777,23295,210316,31925,165434,12957,500692,3.91457781,,,,
2017,RI,1056486,2474,21,454,474,1525,18585,3219,13882,1484,42118,3.986612222,,,,
2017,SC,5021219,25412,380,2576,3884,18572,160368,31165,114931,14272,371560,7.399796743,,,,
2017,SD,873286,3753,27,575,264,2887,16588,2835,12285,1468,40682,4.658496758,,,,
2017,TN,6708794,43940,538,3028,7867,32507,198028,38819,140636,18573,483936,7.213457441,,,,
2017,TX,28322717,123984,1405,14536,32120,75923,723143,133458,521767,67918,1694254,5.981961406,,,,
2017,UT,3103118,7515,74,1758,1498,4185,86201,11780,64955,9466,187432,6.040118358,,,,
2017,VA,8465207,17811,470,3026,4331,9984,152515,18524,123812,10179,340652,4.024142587,,,,
2017,VT,624525,1082,17,254,100,711,9339,1945,7169,225,20842,3.337256315,,,,
2017,WA,7425432,22483,226,3300,5386,13571,235206,43687,162154,29365,515378,6.940714022,,,,
2017,WI,5792051,18638,192,2177,4370,11899,104908,17570,77868,9470,247092,4.266053597,,,,
2017,WV,1817048,6564,98,793,673,5000,32560,7557,21917,3086,78248,4.306325425,,,,
2017,WY,578934,1358,14,253,98,993,10528,1556,8211,761,23772,4.106167542,,,,
2016,AL,4863300,25886,407,1916,4686,18877,143362,34065,97574,11723,338496,6.960212202,,,,
2016,AK,741894,5966,52,1053,850,4011,24876,4053,17766,3057,61684,8.314395318,,,,
2016,AZ,6931071,32583,380,3290,7055,21858,206432,37736,150275,18421,478030,6.896913911,,,,
2016,AR,2988248,16461,216,2143,2120,11982,97673,23771,66747,7155,228268,7.638857284,,,,
2016,CA,39250017,174796,1930,13702,54789,104375,1002070,188304,637010,176756,2353732,5.996766829,,,,
2016,CO,5540545,18983,204,3555,3528,11696,151850,23903,108336,19611,341666,6.166649671,,,,
2016,CT,3576452,8123,78,763,2703,4579,64664,10045,47512,7107,145574,4.070346813,,,,
2016,DE,952065,4844,56,308,1359,3121,26334,5023,19791,1520,62356,6.549552814,,,,
2016,DC,681170,8214,139,532,3480,4063,32716,2361,27382,2973,81860,12.01755803,,,,
2016,FL,20612439,88700,1111,7598,20175,59816,553812,100325,410352,43135,1285024,6.234216145,,,,
2016,GA,10310371,40990,681,3509,12205,24595,309770,63344,219625,26801,701520,6.804022862,,,,
2016,HI,1428557,4417,35,619,994,2769,42753,6017,31082,5654,94340,6.603866699,,,,
2016,ID,1683140,3876,49,719,213,2895,29357,6318,20962,2077,66466,3.948928788,,,,
2016,IL,12801539,55854,1054,4908,17827,32065,262306,47989,194407,19910,636320,4.970652357,,,,
2016,IN,6633053,26845,439,2501,7330,16575,171759,34097,122931,14731,397208,5.988313375,,,,
2016,IA,3134693,9110,71,1247,1148,6644,65391,15030,45378,4983,149002,4.753320341,,,,
2016,KS,2907289,11060,111,1312,1671,7966,78367,14364,57066,6937,178854,6.151916786,,,,
2016,KY,4436974,10308,260,1641,3369,5038,97158,20834,66438,9886,214932,4.844112226,,,,
2016,LA,4681666,26502,554,1816,5576,18556,154386,34667,109380,10339,361776,7.72750555,,,,
2016,ME,1331479,1648,20,412,266,950,21912,4003,17134,775,47120,3.538921755,,,,
2016,MD,6016447,28400,481,1756,10289,15874,137445,24692,100919,11834,331690,5.513054466,,,,
2016,MA,6811779,25677,134,2128,5365,18050,106339,19193,79088,8058,264032,3.87610931,,,,
2016,MI,9928300,45572,598,7125,7120,30729,189620,39568,129876,20176,470384,4.737810098,,,,
2016,MN,5519952,13394,101,2348,3728,7217,117756,18606,90422,8728,262300,4.751852915,,,,
2016,MS,2988726,8383,238,1277,2397,4471,82732,23354,55054,4324,182230,6.097246787,,,,
2016,MO,6093000,31644,537,2554,6570,21983,170549,31710,120544,18295,404386,6.636894797,,,,
2016,MT,1042520,3840,36,578,266,2960,27976,3934,21299,2743,63632,6.103671872,,,,
2016,NE,1907116,5550,49,994,946,3561,43163,6444,31994,4725,97426,5.108551341,,,,
2016,NV,2940058,19936,224,1733,6340,11639,76047,18850,44017,13180,191966,6.529326972,,,,
2016,NH,1334795,2637,17,582,427,1611,20194,2963,16360,871,45662,3.420899839,,,,
2016,NJ,8944469,21914,372,1453,8984,11105,138152,25284,101540,11328,320132,3.579105702,,,,
2016,NM,2081015,14619,139,1526,2737,10217,81931,17281,52907,11743,193100,9.279125811,,,,
2016,NY,19745289,74285,630,6260,22316,45079,305181,39821,250968,14392,758932,3.843610494,,,,
2016,NC,10146788,37769,678,2849,9336,24906,277765,72082,190377,15306,631068,6.219386864,,,,
2016,ND,757952,1903,15,342,181,1365,17402,3243,12195,1964,38610,5.093990121,,,,
2016,OH,11614373,34877,654,5589,12523,16111,299357,66883,212807,19667,668468,5.755523781,,,,
2016,OK,3923561,17648,245,2039,3162,12202,117037,29103,75779,12155,269370,6.865446975,,,,
2016,OR,4093465,10830,113,1721,2278,6718,121345,16866,91286,13193,264350,6.457854165,,,,
2016,PA,12784227,40447,661,4433,12326,23027,222795,35520,174228,13047,526484,4.118231005,,,,
2016,RI,1056426,2524,29,442,540,1513,20058,3788,14674,1596,45164,4.275169297,,,,
2016,SC,4961119,24896,366,2387,4035,18108,160928,32976,114032,13920,371648,7.491213172,,,,
2016,SD,865454,3621,27,509,272,2813,17141,3000,12639,1502,41524,4.7979442,,,,
2016,TN,6651194,42097,486,2714,7813,31084,189835,40312,134404,15119,463864,6.974146296,,,,
2016,TX,27862596,121042,1478,13367,33317,72880,768947,148740,551151,69056,1779978,6.388414059,,,,
2016,UT,3051217,7407,72,1520,1541,4274,90058,12836,67834,9388,194930,6.388598385,,,,
2016,VT,624594,989,14,178,106,691,10602,2103,8217,282,23182,3.711531011,,,,
2016,VA,8411808,18302,484,2737,4803,10278,156412,20018,126606,9788,349428,4.154017781,,,,
2016,WA,7288000,22023,195,3077,5651,13100,254653,49180,173187,32286,553352,7.592645445,,,,
2016,WV,1831102,6557,81,657,720,5099,37487,9301,25677,2509,88088,4.810655004,,,,
2016,WI,5778708,17679,229,1979,4706,10765,111720,19425,82337,9958,258798,4.478475119,,,,
2016,WY,585501,1430,20,205,59,1146,11460,1771,8889,800,25780,4.403066775,,,,
2015,AL,4853875,22957,348,2037,4612,15960,144785,35265,99182,10338,335484,6.911673663,,,,
2015,AK,737709,5391,59,900,761,3671,20806,3511,15249,2046,52394,7.102258479,,,,
2015,AZ,6817565,27968,306,3109,6360,18193,207184,38010,152388,16786,470304,6.898416077,,,,
2015,AR,2977853,15769,189,2008,2117,11455,97391,22851,68720,5820,226320,7.60010652,,,,
2015,CA,38993940,166883,1861,12811,52862,99349,1024914,197404,656517,170993,2383594,6.112729311,,,,
2015,CO,5448819,17348,173,3328,3315,10532,144044,23490,104532,16022,322784,5.9239259,,,,
2015,CT,3584730,7938,116,798,2925,4099,65610,10286,48898,6426,147096,4.103405277,,,,
2015,DE,944076,4760,62,361,1240,3097,25545,4797,19555,1193,60610,6.42003398,,,,
2015,DC,670377,8538,162,494,3746,4136,31444,2971,25208,3265,79964,11.92821353,,,,
2015,FL,20244914,93625,1041,7552,21137,63895,570270,109268,420341,40661,1327790,6.558634924,,,,
2015,GA,10199398,38891,622,3257,12545,22467,316013,68149,220715,27149,709808,6.959312697,,,,
2015,HI,1431603,4201,19,400,1203,2418,54346,6557,42010,5779,116933,8.167976737,,,,
2015,ID,1652828,3593,32,703,191,2667,28912,6124,20916,1872,65010,3.933258633,,,,
2015,IL,12839047,49755,754,4926,15056,29019,256962,46846,192424,17692,613434,4.777877984,,,,
2015,IN,6612768,25373,370,2386,7081,15536,171878,34404,123940,13534,394502,5.965761993,,,,
2015,IA,3121997,8619,73,1205,1050,6291,64688,14977,45328,4383,146614,4.696160823,,,,
2015,KS,2906721,11483,126,1684,1823,7850,80059,15619,57435,7005,183084,6.298643729,,,,
2015,KY,4424611,9887,219,1644,3314,4710,97545,22526,67143,7876,214864,4.856110515,,,,
2015,LA,4668960,25202,492,1733,5561,17416,157708,35457,112520,9731,365820,7.835149584,,,,
2015,ME,1329453,1726,23,461,311,931,24361,4694,18853,814,52174,3.924471192,,,,
2015,MD,5994983,28185,538,1717,10111,15819,142547,26432,102701,13414,341464,5.695829329,,,,
2015,MA,6784240,26453,131,2082,5266,18974,114547,21826,84676,8045,282000,4.15669257,,,,
2015,MI,9917715,41712,585,6710,7818,26599,191191,40375,132019,18797,465806,4.696706852,,,,
2015,MN,5482435,13319,133,2321,3771,7094,121984,19299,94704,7981,270606,4.935872473,,,,
2015,MS,2989390,8190,253,1158,2312,4467,85785,25068,56446,4271,187950,6.287235857,,,,
2015,MO,6076204,30292,503,2573,6383,20833,173788,34029,122749,17010,408160,6.71735182,,,,
2015,MT,1032073,3647,38,572,210,2827,27276,3887,20966,2423,61846,5.992405576,,,,
2015,NE,1893765,5167,62,885,994,3226,42597,6443,32148,4006,95528,5.044342883,,,,
2015,NV,2883758,20118,178,1688,6287,11965,77137,22360,43426,11351,194510,6.745018133,,,,
2015,NH,1330111,2692,15,644,475,1558,23453,3482,19076,895,52290,3.93125085,,,,
2015,NJ,8935421,22879,363,1373,9729,11414,145701,27960,105963,11778,337160,3.773297307,,,,
2015,NM,2080328,13672,117,1663,2485,9407,77212,17084,51485,8643,181768,8.737468322,,,,
2015,NY,19747183,75126,613,6141,23879,44493,317225,44117,257837,15271,784702,3.97374147,,,,
2015,NC,10035186,34734,517,2591,8821,22805,275915,74760,187732,13423,621298,6.191195659,,,,
2015,ND,756835,1949,21,391,159,1378,17716,3296,12686,1734,39330,5.196641276,,,,
2015,OH,11605090,34373,522,5441,12617,15793,303743,69994,216354,17395,676232,5.827029347,,,,
2015,OK,3907414,16746,240,1953,3018,11535,114055,28783,74678,10594,261602,6.695016192,,,,
2015,OR,4024634,10680,110,1650,2163,6757,119752,18541,90514,10697,260864,6.481682558,,,,
2015,PA,12791904,40348,665,4299,12965,22419,231941,39573,180236,12132,544578,4.257208309,,,,
2015,RI,1055607,2565,31,467,547,1520,20038,3938,14714,1386,45206,4.28246497,,,,
2015,SC,4894834,24448,407,2439,3950,17652,162830,34942,114778,13110,374556,7.652067465,,,,
2015,SD,857919,3302,33,500,215,2554,16739,2969,12576,1194,40082,4.672002835,,,,
2015,TN,6595056,40816,418,2801,7499,30098,196047,43753,139259,13035,473726,7.183047422,,,,
2015,TX,27429639,113193,1317,12323,31924,67629,779234,153067,558653,67514,1784854,6.507026943,,,,
2015,UT,2990632,7138,57,1704,1329,4048,89797,12606,68464,8727,193870,6.482576258,,,,
2015,VT,626088,747,10,150,105,482,9064,2034,6834,196,19622,3.134064221,,,,
2015,VA,8367587,16705,390,2499,4459,9357,157803,21542,128064,8197,349016,4.171047161,,,,
2015,WA,7160290,20505,218,2778,5450,12059,249474,51114,171393,26967,539958,7.541007417,,,,
2015,WV,1841053,6397,85,710,783,4819,38694,9467,26984,2243,90182,4.898392387,,,,
2015,WI,5767891,17549,240,1805,5234,10270,114171,19602,83572,10997,263440,4.567353995,,,,
2015,WY,586555,1300,16,171,59,1054,11151,1762,8797,592,24902,4.245467177,,,,
2014,AL,4846411,20727,276,1425,4702,13744,154087,39723,104223,10141,349048,7.202195604,,,,
2014,AK,737046,4684,41,553,629,3243,20334,3150,15445,1739,49818,6.759143934,,,,
2014,AZ,6728783,26422,311,2356,6225,16614,213406,43412,152683,17311,478740,7.114808131,,,,
2014,AR,2966835,14248,175,1291,2037,10220,99452,24816,69001,5635,226875,7.647038005,,,,
2014,CA,38792291,153763,1700,8389,48681,91804,947193,202669,592673,151851,2198723,5.667937993,,,,
2014,CO,5355588,16487,150,2236,3037,10211,135789,23502,99688,12599,303699,5.670693862,,,,
2014,CT,3594762,8575,89,579,3172,4520,69326,12017,51195,6114,155587,4.328158582,,,,
2014,DE,935968,4568,50,274,1271,2857,27915,5765,20885,1265,64850,6.928655681,,,,
2014,DC,659836,8199,105,349,3497,4125,34147,3466,26898,3783,84569,12.8166696,,,,
2014,FL,19905569,91345,982,5038,21621,61610,583774,121379,426197,36198,1348144,6.77269763,,,,
2014,GA,10097132,38955,607,2209,12786,22415,339146,78029,233359,27758,755264,7.479985406,,,,
2014,HI,1420257,3362,20,388,952,1842,46022,7470,33003,5549,98608,6.942968773,,,,
2014,ID,1634806,3439,32,463,203,2559,30440,6466,22297,1677,67576,4.133579153,,,,
2014,IL,12882189,47775,690,3182,15271,27485,269647,50759,201003,17885,633697,4.919171734,,,,
2014,IN,6597880,24105,333,1608,6894,14681,174909,36909,124144,13856,397439,6.023737928,,,,
2014,IA,3109481,8484,60,829,1047,6227,65100,14363,46594,4143,146847,4.722556594,,,,
2014,KS,2902507,10235,92,1066,1361,7299,80029,15921,57169,6939,180111,6.205359711,,,,
2014,KY,4412617,9495,164,1098,3343,4432,99909,23426,70108,6375,218350,4.948310719,,,,
2014,LA,4648990,23983,476,981,5725,16400,161192,38541,113251,9400,369949,7.957620903,,,,
2014,ME,1330256,1698,21,346,304,889,26427,5035,20591,801,56112,4.218135457,,,,
2014,MD,5975346,26767,362,1144,9565,15208,150390,28134,109140,13116,353826,5.921431161,,,,
2014,MA,6755124,26689,133,1625,6077,18277,125481,24951,92226,8304,303763,4.496779038,,,,
2014,MI,9916306,42555,544,4500,8037,27610,202692,44328,137142,21222,488630,4.927540558,,,,
2014,MN,5457125,12505,88,1448,3687,6729,125377,20773,96237,8367,275211,5.04315001,,,,
2014,MS,2993443,8331,259,768,2405,4585,86887,23898,58515,4474,190122,6.351281785,,,,
2014,MO,6063827,26882,404,1728,5592,18483,176436,35293,124769,16374,405961,6.694798516,,,,
2014,MT,1023252,3361,38,396,202,2563,25525,3639,19826,2060,57610,5.630089167,,,,
2014,NE,1882980,5201,53,645,1044,3226,47526,7936,35063,4527,105221,5.588004121,,,,
2014,NV,2838281,18043,170,987,5954,10562,74574,21924,42466,10184,184864,6.513238118,,,,
2014,NH,1327996,2625,16,438,544,1469,26098,4191,21051,856,57288,4.313868415,,,,
2014,NJ,8938844,23319,352,953,10499,11188,154945,31707,111534,11704,356201,3.9848665,,,,
